title,released,genres,description,link
Cyber Hell: Exposing an Internet Horror,2022,documentary film,case of commercial sexual exploitation of children using Telegram in South Korea since the summer of 2018,http://www.wikidata.org/entity/Q111662797
Cyrano,2022,drama film/musical film/romance film,"literary style characterized by a strong expressiveness of words/ritual, period in a couple's relationship which precedes their engagement and marriage/romantic relationship involving three people/love based relationship/process of selection a romantic or sexual partner/love that is not reciprocated by the receiver/people that belong to social community but are not fully incorporated",http://www.wikidata.org/entity/Q104845839
Dalíland,2022,biographical film,Spanish artist (1904-1989),http://www.wikidata.org/entity/Q52559148
Dame Valerie Adams: More than Gold,2022,documentary film/sport film,New Zealand shot putter (1984-),http://www.wikidata.org/entity/Q115132126
Dark Glasses,2022,horror film/giallo,complete or nearly complete lack of vision; visual acuity worse than 3/60/intentional killing or other violent deaths of females (women or girls) because of their gender/acts of violence against prostitutes,http://www.wikidata.org/entity/Q110874990
Dear Memories - A journey with Magnum Photographer Thomas Hoepker,2022,documentary film,German photographer,http://www.wikidata.org/entity/Q112127209
Death of a Ladies’ Man,2022,drama film,attributes associated with boys and men/incurable disease unable to be treated that will almost certainly result in the patient's death/patterned use of a drug in which the user consumes the psychoactive/chemical substance substances in amounts or with methods which are harmful to themselves or others/awareness by an individual that their death is inevitable/cultural norms associated with men that are harmful to society and to men themselves/process of dealing with one's own past as a topic in psychology and the arts,http://www.wikidata.org/entity/Q105928969
Death on the Nile,2022,drama film/crime film/mystery film/detective film/film based on a novel,"unlawful killing of a human with malice aforethought/social class composed of the wealthiest members of society, who also wield the greatest political power/love based relationship/behavior and life style of people with the highest levels of wealth and social status/attempt to attain an inheritance in an immoral or unlawful way",http://www.wikidata.org/entity/Q56816969
Deepfake Porn: Could You Be Next?,2022,documentary film,pornography generated using deepfake technology,http://www.wikidata.org/entity/Q117816294
Descendant,2022,documentary film,"community located three miles (5 km) north of downtown Mobile, Alabama/slave ship",http://www.wikidata.org/entity/Q115819845
Devotion,2022,drama film/war film/biographical film/film based on books,1950–1953 war between North and South Korea,http://www.wikidata.org/entity/Q105962551
Died Suddenly,2022,propaganda film,conspiracy theory/reluctance or refusal to be vaccinated or to have one's children vaccinated against contagious diseases despite the availability of immunization service/false information about the pandemic caused by coronavirus disease 2019/reluctance to be vaccinated or to have one's children vaccinated with a COVID-19 vaccine/misinformation regarding the SARS-CoV-2 vaccine and the resulting hesitancy towards it,http://www.wikidata.org/entity/Q115388053
Don't Breathe 2,2022,horror film/thriller film,maltreatment or neglect of a child/unpleasant emotional response to isolation/common theme in thriller stories and film,http://www.wikidata.org/entity/Q100701374
Don't Worry Darling,2022,drama film/horror film/psychological thriller/mystery film/thriller film,open resistance against the orders of an established authority that seeks to gain concessions from an oppressive power/principle in international law; the right of peoples to freely choose their sovereignty/set of technologies which allow a person to feel as if they were present in another place/misleading someone into doubting reality,http://www.wikidata.org/entity/Q100801718
Downfall: The Case Against Boeing,2022,documentary film,"2018 aircraft crash in the Java Sea off the coast of Karawang, Indonesia/flight between Addis Ababa and Nairobi crashed on 10 March 2019/Boeing 737 MAX groundings due to safety concerns, after two new airplanes crashed within five months/automated flight control feature of the Boeing 737 MAX to adapt its flying characteristics to new engines and their mounting position on the wings.",http://www.wikidata.org/entity/Q110666435
Drive My Car,2022,drama film,"collaborative form of performing art/emotional experience that occurs when a person believes or realizes—accurately or not—that they have compromised their own standards of conduct or have violated universal moral standards and bear significant responsibility for that violation/process of development of a close, interpersonal relationship/hurtful condition of having lost something or someone/end cause of marriage, significant event/process of dealing with one's own past as a topic in psychology and the arts",http://www.wikidata.org/entity/Q107107865
